index,ticker,name,exchangeCode,description,startDate,endDate
10,INTC,Intel Corp,NASDAQ,"Intel is an industry leader, creating world-changing technology that enables global progress and enriches lives. Inspired by Moore's Law, we continuously work to advance the design and manufacturing of semiconductors to help address our customers' greatest challenges. By embedding intelligence in the cloud, network, edge and every kind of computing device, we unleash the potential of data to transform business and society for the better. Intel Corporation is an American multinational corporation and technology company headquartered in Santa Clara, California, in Silicon Valley. It is the world's largest semiconductor chip manufacturer by revenue, and is the developer of the x86 series of microprocessors, the processors found in most personal computers (PCs). Incorporated in Delaware, Intel ranked No. 45 in the 2020 Fortune 500 list of the largest United States corporations by total revenue. Intel supplies microprocessors for computer system manufacturers such as Lenovo, HP, and Dell. Intel also manufactures motherboard chipsets, network interface controllers and integrated circuits, flash memory, graphics chips, embedded processors and other devices related to communications and computing. Intel Corporation was founded on July 18, 1968 by semiconductor pioneers Gordon Moore (of Moore's law) and Robert Noyce, and the executive leadership and vision of Andrew Grove. The company's name was conceived as portmanteau of the words integrated and electronics, with co-founder Noyce having been a key inventor of the integrated circuit (microchip). The fact that ""intel"" is the term for intelligence information also made the name appropriate. Intel was an early developer of SRAM and DRAM memory chips, which represented the majority of its business until 1981. Although Intel created the world's first commercial microprocessor chip in 1971, it was not until the success of the personal computer (PC) that this became its primary business. During the 1990s, Intel invested heavily in new microprocessor designs fostering the rapid growth of the computer industry. During this period, Intel became the dominant supplier of microprocessors for PCs and was known for aggressive and anti-competitive tactics in defense of its market position, particularly against Advanced Micro Devices (AMD), as well as a struggle with Microsoft for control over the direction of the PC industry. The Open Source Technology Center at Intel hosts PowerTOP and LatencyTOP, and supports other open-source projects such as Wayland, Mesa3D, Threading Building Blocks (TBB), and Xen.",17-03-1980,05-04-2021
11,JNJ,Johnson & Johnson,NYSE,"At Johnson & Johnson, we believe good health is the foundation of vibrant lives, thriving communities and forward progress. That's why for more than 130 years, we have aimed to keep people well at every age and every stage of life. Today, as the world's largest and most broadly-based healthcare company, we are committed to using our reach and size for good. We strive to improve access and affordability, create healthier communities, and put a healthy mind, body and environment within reach of everyone, everywhere. We are blending our heart, science and ingenuity to profoundly change the trajectory of health for humanity. Johnson & Johnson (J&J) is an American multinational corporation founded in 1886 that develops medical devices, pharmaceuticals, and consumer packaged goods. Its common stock is a component of the Dow Jones Industrial Average and the company is ranked No. 37 on the 2018 Fortune 500 list of the largest United States corporations by total revenue. Johnson & Johnson is one of the world's most valuable companies, and is one of only two U.S.-based companies that has a prime credit rating of AAA, higher than that of the United States government. Johnson & Johnson is headquartered in New Brunswick, New Jersey, the consumer division being located in Skillman, New Jersey. The corporation includes some 250 subsidiary companies with operations in 60 countries and products sold in over 175 countries. Johnson & Johnson had worldwide sales of $70.1 billion during calendar year 2015. Johnson & Johnson's brands include numerous household names of medications and first aid supplies. Among its well-known consumer products are the Band-Aid Brand line of bandages, Tylenol medications, Johnson's Baby products, Neutrogena skin and beauty products, Clean & Clear facial wash and Acuvue contact lenses. Johnson & Johnson's pharmaceutical arm is Janssen Pharmaceutica.",02-01-1970,05-04-2021
12,KO,Coca-Cola Company,NYSE,"Coca-Cola, or Coke, is a carbonated soft drink manufactured by The Coca-Cola Company. Originally marketed as a temperance drink and intended as a patent medicine, it was invented in the late 19th century by John Stith Pemberton and was bought out by businessman Asa Griggs Candler, whose marketing tactics led Coca-Cola to its dominance of the world soft-drink market throughout the 20th century.[1] The drink's name refers to two of its original ingredients: coca leaves, and kola nuts (a source of caffeine). The current formula of Coca-Cola remains a trade secret; however, a variety of reported recipes and experimental recreations have been published. The Coca-Cola Company produces concentrate, which is then sold to licensed Coca-Cola bottlers throughout the world. The bottlers, who hold exclusive territory contracts with the company, produce the finished product in cans and bottles from the concentrate, in combination with filtered water and sweeteners. A typical 12-US-fluid-ounce (350 ml) can contains 38 grams (1.3 oz) of sugar (usually in the form of high-fructose corn syrup). The bottlers then sell, distribute, and merchandise Coca-Cola to retail stores, restaurants, and vending machines throughout the world. The Coca-Cola Company also sells concentrate for soda fountains of major restaurants and foodservice distributors. The Coca-Cola Company has on occasion introduced other cola drinks under the Coke name. The most common of these is Diet Coke, along with others including Caffeine-Free Coca-Cola, Diet Coke Caffeine-Free, Coca-Cola Zero Sugar, Coca-Cola Cherry, Coca-Cola Vanilla, and special versions with lemon, lime, and coffee. Coca-Cola was called Coca-Cola Classic from July 1985 to 2009, to distinguish it from ""New Coke"". Based on Interbrand's ""best global brand"" study of 2015, Coca-Cola was the world's third most valuable brand, after Apple and Google. In 2013, Coke products were sold in over 200 countries worldwide, with consumers drinking more than 1.8 billion company beverage servings each day. Coca-Cola ranked No. 87 in the 2018 Fortune 500 list of the largest United States corporations by total revenue. The Coca-Cola Company is a total beverage company, offering over 500 brands in more than 200 countries. In addition to the company's Coca-Cola brands, our portfolio includes some of the world's most valuable beverage brands, such as AdeS soy-based beverages, Ayataka green tea, Dasani waters, Del Valle juices and nectars, Fanta, Georgia coffee, Gold Peak teas and coffees, Honest Tea, innocent smoothies and juices, Minute Maid juices, Powerade sports drinks, Simply juices, smartwater, Sprite, vitaminwater and ZICO coconut water. We're constantly transforming our portfolio, from reducing sugar in our drinks to bringing innovative new products to market. We're also working to reduce our environmental impact by replenishing water and promoting recycling. With our bottling partners, we employ more than 700,000 people, bringing economic opportunity to local communities worldwide.",02-01-1962,05-04-2021
13,MCD,McDonald`s Corp,NYSE,"McDonald's Corporation franchises and operates McDonald's restaurants in the global restaurant industry. These restaurants serve menu at various price points providing value in 119 countries globally. McDonald's Corporation is an American fast food company, founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States. They rechristened their business as a hamburger stand, and later turned the company into a franchise, with the Golden Arches logo being introduced in 1953 at a location in Phoenix, Arizona. In 1955, Ray Kroc, a businessman, joined the company as a franchise agent and proceeded to purchase the chain from the McDonald brothers. McDonald's had its previous headquarters in Oak Brook, Illinois, but moved its global headquarters to Chicago in June 2018. McDonald's is the world's largest restaurant chain by revenue, serving over 69 million customers daily in over 100 countries across 37,855 outlets as of 2018. Although McDonald's is best known for its hamburgers, cheeseburgers and french fries, they feature chicken products, breakfast items, soft drinks, milkshakes, wraps, and desserts. In response to changing consumer tastes and a negative backlash because of the unhealthiness of their food, the company has added to its menu salads, fish, smoothies, and fruit. The McDonald's Corporation revenues come from the rent, royalties, and fees paid by the franchisees, as well as sales in company-operated restaurants. According to two reports published in 2018, McDonald's is the world's second-largest private employer with 1.7 million employees (behind Walmart with 2.3 million employees). As of 2020, McDonald's has the ninth-highest global brand valuation.",02-01-1970,05-04-2021
14,MSFT,Microsoft Corporation,NASDAQ,"Microsoft Corporation is an American multinational technology company with headquarters in Redmond, Washington. It develops, manufactures, licenses, supports, and sells computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook. Microsoft (the word being a portmanteau of ""microcomputer software"") was founded by Bill Gates and Paul Allen on April 4, 1975, to develop and sell BASIC interpreters for the Altair 8800. It rose to dominate the personal computer operating system market with MS-DOS in the mid-1980s, followed by Microsoft Windows. The company's 1986 initial public offering (IPO), and subsequent rise in its share price, created three billionaires and an estimated 12,000 millionaires among Microsoft employees. Since the 1990s, it has increasingly diversified from the operating system market and has made a number of corporate acquisitions, their largest being the acquisition of LinkedIn for $26.2 billion in December 2016, followed by their acquisition of Skype Technologies for $8.5 billion in May 2011. As of 2015, Microsoft is market-dominant in the IBM PC compatible operating system market and the office software suite market, although it has lost the majority of the overall operating system market to Android.[8] The company also produces a wide range of other consumer and enterprise software for desktops, laptops, tabs, gadgets, and servers, including Internet search (with Bing), the digital services market (through MSN), mixed reality (HoloLens), cloud computing (Azure), and software development (Visual Studio). Steve Ballmer replaced Gates as CEO in 2000, and later envisioned a ""devices and services"" strategy. This unfolded with Microsoft acquiring Danger Inc. in 2008, entering the personal computer production market for the first time in June 2012 with the launch of the Microsoft Surface line of tablet computers, and later forming Microsoft Mobile through the acquisition of Nokia's devices and services division. Since Satya Nadella took over as CEO in 2014, the company has scaled back on hardware and has instead focused on cloud computing, a move that helped the company's shares reach its highest value since December 1999. Earlier dethroned by Apple in 2010, in 2018 Microsoft reclaimed its position as the most valuable publicly traded company in the world. In April 2019, Microsoft reached the trillion-dollar market cap, becoming the third U.S. public company to be valued at over $1 trillion after Apple and Amazon respectively. As of 2020, Microsoft has the third-highest global brand valuation.",13-03-1986,05-04-2021
15,NKE,Nike Inc - Class B,NYSE,"NIKE, Inc. (NIKE) is engaged in the design, development and worldwide marketing and selling of footwear, apparel, equipment, accessories and services. NIKE is a seller of athletic footwear and athletic apparel worldwide. The Company sells its products to retail accounts, through NIKE-owned retail stores and Internet sales, and through a mix of independent distributors and licensees, in approximately 190 countries around the world. The Company focuses its product offerings in seven key categories: Running, Basketball, Football (Soccer), Men's Training, Women's Training, NIKE Sportswear (its sports-inspired products) and Action Sports. It also markets products designed for kids, as well as for other athletic and recreational uses, such as baseball, cricket, golf, lacrosse, outdoor activities, football (American), tennis, volleyball, walking and wrestling. In February 2013, it sold its Cole Haan affiliate brand to APAX Partners LLP. Nike, Inc. is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services. The company is headquartered near Beaverton, Oregon, in the Portland metropolitan area. It is the world's largest supplier of athletic shoes and apparel and a major manufacturer of sports equipment, with revenue in excess of US$37.4 billion in its fiscal year 2020 (ending May 31, 2020). As of 2020, it employed 76,700 people worldwide. In 2020 the brand alone was valued in excess of $32 billion, making it the most valuable brand among sports businesses. Previously in 2017, the Nike brand was valued at $29.6 billion. Nike ranked No. 89 in the 2018 Fortune 500 list of the largest United States corporations by total revenue. The company was founded on January 25, 1964, as ""Blue Ribbon Sports"", by Bill Bowerman and Phil Knight, and officially became Nike, Inc. on May 30, 1971. The company takes its name from Nike, the Greek goddess of victory.[8] Nike markets its products under its own brand, as well as Nike Golf, Nike Pro, Nike+, Air Jordan, Nike Blazers, Air Force 1, Nike Dunk, Air Max, Foamposite, Nike Skateboarding, Nike CR7, and subsidiaries including Jordan Brand and Converse. Nike also owned Bauer Hockey (later renamed Nike Bauer) from 1995 to 2008, and previously owned Cole Haan, Umbro, and Hurley International. In addition to manufacturing sportswear and equipment, the company operates retail stores under the Niketown name. Nike sponsors many high-profile athletes and sports teams around the world, with the highly recognized trademarks of ""Just Do It"" and the Swoosh logo.",02-12-1980,05-04-2021
16,PG,Procter & Gamble Company,NYSE,"The Procter & Gamble Company (P&G) is an American multinational consumer goods corporation headquartered in Cincinnati, Ohio, founded in 1837 by William Procter and James Gamble. It specializes in a wide range of personal health/consumer health, and personal care and hygiene products; these products are organized into several segments including Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine, & Family Care. Before the sale of Pringles to Kellogg's, its product portfolio also included food, snacks, and beverages. P&G is incorporated in Ohio. In 2014, P&G recorded $83.1 billion in sales. On August 1, 2014, P&G announced it was streamlining the company, dropping and selling off around 100 brands from its product portfolio in order to focus on the remaining 65 brands, which produced 95% of the company's profits. A.G. Lafley�the company's chairman, and CEO until October 31, 2015�said the future P&G would be ""a much simpler, much less complex company of leading brands that's easier to manage and operate"".",02-01-1970,05-04-2021
17,UNH,Unitedhealth Group Inc,NYSE,"UnitedHealth Group is a diversified health care company dedicated to helping people live healthier lives and helping make the health system work better for everyone. UnitedHealth Group offers a broad spectrum of products and services through two distinct platforms: UnitedHealthcare, which provides health care coverage and benefits services; and Optum, which provides information and technology-enabled health services. UnitedHealth Group Incorporated is an American for-profit managed health care company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue. The company is ranked 7th on the 2020 Fortune 500. UnitedHealth Group has a 2020 market value $332.885 billion.",26-03-1990,05-04-2021
18,V,Visa Inc - Class A,NYSE,"Visa Inc. is an American multinational financial services corporation headquartered in Foster City, California, United States. It facilitates electronic funds transfers throughout the world, most commonly through Visa-branded credit cards, debit cards and prepaid cards.[6] Visa is one of the world's most valuable companies. Visa does not issue cards, extend credit or set rates and fees for consumers; rather, Visa provides financial institutions with Visa-branded payment products that they then use to offer credit, debit, prepaid and cash access programs to their customers. In 2015, the Nilson Report, a publication that tracks the credit card industry, found that Visa's global network (known as VisaNet) processed 100 billion transactions during 2014 with a total volume of US$6.8 trillion. It was launched in September 1958 by Bank of America (BofA) as the BankAmericard credit card program.[1] In response to competitor Master Charge (now Mastercard), BofA began to license the BankAmericard program to other financial institutions in 1966.[8] By 1970, BofA gave up direct control of the BankAmericard program, forming a consortium with the other various BankAmericard issuer banks to take over its management. It was then renamed Visa in 1976. Nearly all Visa transactions worldwide are processed through the company's directly operated VisaNet at one of four secure data centers, located in Ashburn, Virginia; Highlands Ranch, Colorado; London, England; and Singapore. These facilities are heavily secured against natural disasters, crime, and terrorism; can operate independently of each other and from external utilities if necessary; and can handle up to 30,000 simultaneous transactions and up to 100 billion computations every second. Visa is the world's second-largest card payment organization (debit and credit cards combined), after being surpassed by China UnionPay in 2015, based on annual value of card payments transacted and number of issued cards. However, because UnionPay's size is based primarily on the size of its domestic market in China, Visa is still considered the dominant banking card company in the rest of the world, where it commands a 50% market share of total card payments. Visa Inc. is the world�s leader in digital payments. Our mission is to connect the world through the most innovative, reliable and secure payment network - enabling individuals, businesses and economies to thrive. Our advanced global processing network, VisaNet, provides secure and reliable payments around the world, and is capable of handling more than 65,000 transaction messages a second. The company�s relentless focus on innovation is a catalyst for the rapid growth of digital commerce on any device, for everyone, everywhere. As the world moves from analog to digital, Visa is applying our brand, products, people, network and scale to reshape the future of commerce.",19-03-2008,05-04-2021
19,VZ,Verizon Communications Inc,NASDAQ,"Verizon Communications Inc. is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average. The company is headquartered at 1095 Avenue of the Americas in Midtown Manhattan, New York City, but is incorporated in Delaware. In 1984, the United States Department of Justice mandated AT&T Corporation to break up the Bell System into seven companies, each a Regional Bell Operating Company (RBOC), commonly referred to as ""Baby Bells"". Bell Atlantic, one of the Baby Bells, came into existence the same year, consisting of the separate operating companies New Jersey Bell, Bell of Pennsylvania, Diamond State Telephone, and C&P Telephone, with a trading area from New Jersey to Virginia. As part of a rebranding of the Baby Bells in the mid-1990s, all of Bell Atlantic's operating companies assumed the holding company's name. In 1997, Bell Atlantic expanded into New York and the New England states by merging with fellow Baby Bell NYNEX. Bell Atlantic was the surviving company name, and the merged company moved its headquarters from Philadelphia to NYNEX's old headquarters in New York City. In 2000, Bell Atlantic acquired GTE, which operated telecommunications companies across most of the rest of the country that was not already in Bell Atlantic's footprint. Bell Atlantic, the surviving entity, changed its name to Verizon, a portmanteau of veritas (Latin for ""truth"") and horizon. In 2015, Verizon expanded into content ownership by acquiring AOL, and two years later, it acquired Yahoo!. AOL and Yahoo were amalgamated into a new division named Oath Inc., currently known as Verizon Media. As of 2016, Verizon is one of three remaining companies with roots in the former Baby Bells. The other two, like Verizon, exist as a result of mergers among fellow former Baby Bell members. SBC Communications bought the Bells' former parent AT&T Corporation and took on the AT&T name, and CenturyLink acquired Qwest (formerly US West) in 2011 and later became Lumen Technologies in 2020. Verizon's subsidiary Verizon Wireless is the second-largest wireless carrier in the United States, with 120.9 million subscribers as of the end of Q4 2020. And as of 2017, Verizon is the only publicly traded telecommunications company that has two stock listings in its home country, both the NYSE (principal) and NASDAQ (secondary). As of 2017, it is also the second largest telecommunications company by revenue after AT&T.",21-11-1983,05-04-2021
20,WMT,Walmart Inc,NYSE,"Walmart Inc. is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores from the United States, headquartered in Bentonville, Arkansas. The company was founded by Sam Walton in nearby Rogers, Arkansas in 1962 and incorporated under Delaware General Corporation Law on October 31, 1969. It also owns and operates Sam's Club retail warehouses. As of January 31, 2021, Walmart has 11,443 stores and clubs in 26 countries, operating under 54 different names. The company operates under the name Walmart in the United States and Canada, as Walmart de M�xico y Centroam�rica in Mexico and Central America, it is affiliated with Asda in the United Kingdom, as the Seiyu Group in Japan, and as Flipkart Wholesale in India. It has wholly owned operations in Argentina, Chile, Canada, and South Africa. Since August 2018, Walmart holds only a minority stake in Walmart Brasil, which was renamed Grupo Big in August 2019, with 20 percent of the company's shares, and private equity firm Advent International holding 80 percent ownership of the company. Walmart is the world's largest company by revenue, with US$548.743 billion, according to the Fortune Global 500 list in 2020. It is also the largest private employer in the world with 2.2 million employees. It is a publicly traded family-owned business, as the company is controlled by the Walton family. Sam Walton's heirs own over 50 percent of Walmart through both their holding company Walton Enterprises and their individual holdings. Walmart was the largest United States grocery retailer in 2019, and 65 percent of Walmart's US$510.329 billion sales came from U.S. operations. Walmart was listed on the New York Stock Exchange in 1972. By 1988, it was the most profitable retailer in the U.S., and it had become the largest in terms of revenue by October 1989. The company was originally geographically limited to the South and lower Midwest, but it had stores from coast to coast by the early 1990s. Sam's Club opened in New Jersey in November 1989, and the first California outlet opened in Lancaster, in July 1990. A Walmart in York, Pennsylvania, opened in October 1990, the first main store in the Northeast. Walmart's investments outside the U.S. have seen mixed results. Its operations and subsidiaries in Canada, the United Kingdom, Central America, South America, and China are highly successful, but its ventures failed in Germany and South Korea.",25-08-1972,05-04-2021
